Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
CARE11;Híbrido;R$ 0,73;182435.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;0,00%;0,00%;0,00%;R$ 250.135.075,61;R$ 1,40;0,52;N/A;N/A;N/A;N/A;N/A;N/A;0
FIVN11;Shoppings;R$ 5,42;1702.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;0,00%;0,00%;0,00%;R$ 71.562.111,82;R$ 7,60;0,71;N/A;N/A;N/A;N/A;56,00%;N/A;1
BZLI11;Títulos e Val. Mob.;R$ 14,20;17739.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,68%;0,68%;1,14%;R$ 421.164.153,58;R$ 11,84;1,20;N/A;N/A;N/A;N/A;N/A;N/A;0
XTED11;Lajes Corporativas;R$ 7,40;3999.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,10%;1,10%;-37,83%;R$ 26.471.845,31;R$ 14,77;0,50;N/A;N/A;N/A;N/A;100,00%;100,00%;1
ALMI11;Lajes Corporativas;R$ 1.385,00;83.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,27%;2,27%;-28,29%;R$ 221.984.897,62;R$ 1.996,68;0,69;N/A;N/A;N/A;N/A;75,56%;N/A;1
DOMC11;Lajes Corporativas;R$ 503,10;45.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,35%;4,35%;-10,00%;R$ 244.148.383,77;R$ 999,05;0,50;N/A;N/A;N/A;N/A;23,44%;N/A;1
PABY11;Híbrido;R$ 13,46;419.0;R$ 0,00;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-19,84%;-19,84%;-31,62%;R$ -1.672.954,96;R$ -2,21;-6,10;N/A;N/A;N/A;N/A;N/A;N/A;1
BBVJ11;Lajes Corporativas;R$ 58,00;1625.0;R$ 0,33;0,61%;0,74%;0,94%;0,96%;0,25%;0,16%;0,08%;0,96%;19,24%;19,96%;-9,15%;R$ 156.531.728,70;R$ 57,76;1,00;N/A;N/A;N/A;N/A;70,40%;N/A;1
HUSC11;Outros;R$ 133,63;642.0;R$ 0,42;0,27%;0,27%;0,27%;1,11%;0,09%;0,05%;0,09%;0,27%;-3,13%;-2,87%;-0,02%;R$ 72.647.258,53;R$ 100,09;1,34;N/A;N/A;N/A;N/A;N/A;N/A;0
RBCB11;Outros;R$ 19,00;161.0;R$ 0,00;0,00%;0,29%;4,38%;14,62%;0,10%;0,73%;1,22%;4,38%;-71,35%;-71,35%;-75,16%;R$ 40.071,39;R$ 0,75;25,18;N/A;N/A;N/A;N/A;N/A;N/A;0
RBDS11;Residencial;R$ 38,90;259.0;R$ 0,62;0,38%;3,38%;6,82%;17,81%;1,13%;1,14%;1,48%;13,35%;-21,63%;-21,33%;-29,55%;R$ 2.890.538,94;R$ 22,85;1,70;N/A;N/A;N/A;N/A;N/A;N/A;0
KNRE11;Residencial;R$ 4,45;17918.0;R$ 0,26;3,92%;5,11%;5,11%;9,25%;1,70%;0,85%;0,77%;7,82%;5,28%;9,41%;-24,78%;R$ 74.252.841,99;R$ 4,00;1,11;0,00%;-12,30%;-12,30%;-12,30%;N/A;N/A;0
FMOF11;Lajes Corporativas;R$ 92,98;233.0;R$ 0,27;0,25%;1,06%;1,06%;3,09%;0,35%;0,18%;0,26%;1,06%;22,10%;22,40%;19,19%;R$ 66.586.589,24;R$ 131,07;0,71;N/A;N/A;N/A;N/A;43,75%;N/A;1
FLRP11;Shoppings;R$ 1.400,00;12.0;R$ 13,52;0,86%;1,87%;3,17%;6,64%;0,62%;0,53%;0,55%;0,86%;0,00%;0,86%;0,86%;R$ 95.593.339,31;R$ 1.598,15;0,88;N/A;N/A;N/A;N/A;0,86%;N/A;1
ATSA11;Shoppings;R$ 115,00;51.0;R$ 0,25;0,18%;0,59%;1,30%;2,97%;0,20%;0,22%;0,25%;0,37%;0,74%;0,92%;1,10%;R$ 190.288.399,90;R$ 110,94;1,04;N/A;N/A;N/A;N/A;17,50%;N/A;1
HPDP11;Shoppings;R$ 88,00;127.0;R$ 0,20;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,78%;-3,74%;-3,55%;-2,98%;R$ 282.320.944,84;R$ 97,06;0,91;N/A;N/A;N/A;N/A;4,20%;N/A;1
JRDM11;Shoppings;R$ 81,46;712.0;R$ 0,40;0,39%;1,63%;3,21%;6,32%;0,54%;0,53%;0,53%;0,39%;0,00%;0,39%;0,39%;R$ 227.073.081,77;R$ 90,00;0,91;N/A;N/A;N/A;N/A;1,98%;N/A;1
BMLC11B;Lajes Corporativas;R$ 99,69;120.0;R$ 0,53;0,50%;1,49%;2,92%;5,51%;0,50%;0,49%;0,46%;1,01%;-0,75%;-0,25%;0,25%;R$ 93.941.478,44;R$ 94,09;1,06;N/A;N/A;N/A;N/A;1,70%;N/A;2
CXTL11;Logística;R$ 301,00;190.0;R$ 0,16;0,05%;0,48%;1,26%;2,80%;0,16%;0,21%;0,23%;0,48%;-22,84%;-22,80%;-22,31%;R$ 41.132.385,67;R$ 767,44;0,39;N/A;N/A;N/A;N/A;N/A;N/A;4
XPHT11;Hotel;R$ 85,00;623.0;R$ 0,34;0,40%;1,05%;2,23%;0,00%;0,35%;0,37%;0,00%;1,05%;-18,27%;-17,94%;-16,89%;R$ 468.994.577,59;R$ 125,48;0,68;N/A;N/A;N/A;N/A;N/A;N/A;5
PQDP11;Shoppings;R$ 2.989,99;171.0;R$ 14,47;0,53%;1,32%;2,64%;5,39%;0,44%;0,44%;0,45%;1,11%;-18,15%;-17,72%;-17,25%;R$ 810.440.398,23;R$ 3.398,40;0,88;N/A;N/A;N/A;N/A;4,20%;N/A;1
NEWL11;Híbrido;R$ 97,90;1998.0;R$ 0,70;0,64%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,79%;-7,57%;-6,98%;-9,33%;R$ 87.081.011,88;R$ 101,75;0,96;N/A;N/A;N/A;N/A;0,00%;N/A;1
RBGS11;Shoppings;R$ 42,20;2742.0;R$ 0,00;0,00%;1,42%;2,84%;5,54%;0,47%;0,47%;0,46%;1,42%;-29,71%;-29,71%;-33,53%;R$ 93.491.142,84;R$ 86,73;0,49;N/A;N/A;N/A;N/A;13,20%;N/A;1
VSHO11;Shoppings;R$ 89,00;1115.0;R$ 0,00;0,00%;1,18%;2,88%;6,51%;0,39%;0,48%;0,54%;1,18%;-26,13%;-26,13%;-27,82%;R$ 225.608.130,28;R$ 107,49;0,83;N/A;N/A;N/A;N/A;5,67%;N/A;3
HTMX11;Hotel;R$ 136,00;4719.0;R$ 0,00;0,00%;0,80%;2,20%;5,41%;0,27%;0,37%;0,45%;0,80%;-28,14%;-28,14%;-32,26%;R$ 183.334.771,65;R$ 145,85;0,93;N/A;N/A;N/A;N/A;40,00%;N/A;23
FVPQ11;Shoppings;R$ 171,62;882.0;R$ 0,00;0,00%;1,21%;3,24%;6,94%;0,40%;0,54%;0,58%;1,21%;-26,69%;-26,69%;-29,83%;R$ 603.236.013,02;R$ 215,43;0,80;0,00%;0,37%;0,37%;1,67%;2,40%;N/A;1
